condition,frequency_band,mean_complexity,std_complexity,n_epochs
awake_eyes_open,delta,5.444962059659091,0.13996608775554428,60
awake_eyes_open,theta,3.1881392065907552,0.11884772547357728,60
awake_eyes_open,alpha,2.747408430262945,0.11660356027117497,60
awake_eyes_open,beta,2.3648473156514584,0.0793338810561356,60
awake_eyes_open,gamma,1.9825035843716816,0.0752346356462981,60
awake_eyes_open,broadband,2.4053867412333987,0.1090256959563554,60
sedation,delta,5.808713717217345,0.09429962674741836,12
sedation,theta,3.4129030827468547,0.10432298009605956,12
sedation,alpha,3.4386675591618765,0.1328527478143665,12
sedation,beta,3.146315236293147,0.12030770308025607,12
sedation,gamma,1.9053305990319769,0.053680355183012445,12
sedation,broadband,3.1798740234328218,0.31210744873183044,12
